,Variedad,Ancho Est. Pétalo
0,Setosa,-0.7164977208318387
1,Setosa,1.3135791548583704
2,Setosa,-0.7164977208318387
3,Setosa,-0.7164977208318387
4,Setosa,1.3135791548583704
5,Setosa,1.3135791548583704
6,Setosa,0.2985407170132655
7,Setosa,0.2985407170132655
8,Setosa,0.2985407170132655
9,Setosa,1.3135791548583704
10,Setosa,-0.7164977208318387
11,Setosa,-1.7315361586769433
12,Setosa,-0.7164977208318387
13,Setosa,-0.7164977208318387
14,Setosa,1.3135791548583704
15,Setosa,-0.7164977208318387
16,Setosa,-0.7164977208318387
17,Virginica,1.0596258856520349
18,Virginica,-0.1324532357065039
19,Virginica,-0.927172649945531
